Genre ID,Maximum Price,Minimum Price
KnvZfZ7v7ll,250.0,140.0
KnvZfZ7vAJ6,146.25,52.25
KnvZfZ7vAe6,99.5,29.5
KnvZfZ7vAe7,109.95,30.0
KnvZfZ7vAeA,46.78030303030303,26.060606060606062
KnvZfZ7vAeF,175.83333333333334,47.5
KnvZfZ7vAeJ,35.0,30.0
KnvZfZ7vAed,60.166666666666664,26.833333333333332
KnvZfZ7vAee,92.3,32.3
KnvZfZ7vAev,44.05555555555556,27.88888888888889
KnvZfZ7vAv1,37.26470588235294,27.705882352941178
KnvZfZ7vAv6,33.75,25.0
KnvZfZ7vAvF,39.9,28.833333333333332
KnvZfZ7vAvl,23.85,23.85
KnvZfZ7vAvt,57.857142857142854,37.92857142857143
KnvZfZ7vAvv,,
